method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,layer,client_i,client_j,cka,average_layer_cka,num_reference_samples
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,0,0,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,0,1,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,0,2,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,0,3,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,0,4,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,1,0,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,1,1,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,1,2,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,1,3,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,1,4,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,2,0,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,2,1,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,2,2,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,2,3,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,2,4,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,3,0,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,3,1,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,3,2,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,3,3,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,3,4,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,4,0,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,4,1,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,4,2,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,4,3,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv1,4,4,1.0,1.0,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv2,0,0,1.0,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv2,0,1,1.0,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv2,0,2,1.0,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv2,0,3,0.9999547004699707,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv2,0,4,0.9999760389328003,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv2,1,0,1.0,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_fixed/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,2,conv2,1,1,1.0,0.9999778866767883,500
